flag,parent_company,site_name,city,country,type
🇫🇷,Air Liquide (Advanced Materials),HQ,Paris,France,HQ
🇫🇷,Air Liquide (Advanced Materials),ALAM Global Hub,Branchburg,USA,Plant/R&D
🇫🇷,Air Liquide (Advanced Materials),Fremont Plant,Fremont,USA,Plant
🇫🇷,Air Liquide (Advanced Materials),High Springs Plant,High Springs,USA,Plant
🇫🇷,Air Liquide (Advanced Materials),Portland Plant,Portland,USA,Plant
🇫🇷,Air Liquide (Advanced Materials),Chalon-sur-Saône Plant,Chalon-sur-Saône,France,Plant
🇫🇷,Air Liquide (Advanced Materials),Sejong Plant,Sejong,South Korea,Plant
🇫🇷,Air Liquide (Advanced Materials),Hwaseong Plant,Hwaseong,South Korea,Plant
🇫🇷,Air Liquide (Advanced Materials),Tsukuba AMC,Tsukuba,Japan,Plant
🇫🇷,Air Liquide (Advanced Materials),Tuas AMC,Singapore,Singapore,Plant
🇫🇷,Air Liquide (Advanced Materials),Kaohsiung Plant,Kaohsiung,Taiwan,Plant
🇫🇷,Air Liquide (Advanced Materials),Innovation Campus Tokyo,Yokosuka,Japan,R&D
🇫🇷,Air Liquide (Advanced Materials),Innovation Campus Delaware,Newark,USA,R&D
🇺🇸,Entegris,HQ,Billerica,USA,HQ
🇺🇸,Entegris,Colorado Springs,Colorado Springs,USA,Plant/R&D
🇺🇸,Entegris,Kaohsiung Super-Plant,Kaohsiung,Taiwan,Plant
🇺🇸,Entegris,Taiwan Technology Center,Hsinchu,Taiwan,R&D
🇺🇸,Entegris,Taiwan Plant,Kaohsiung,Taiwan,Plant
🇺🇸,Entegris,JangAn Facility,Hwaseong,South Korea,Plant/R&D
🇺🇸,Entegris,Oseong HVM Plant,Pyeongtaek,South Korea,Plant
🇺🇸,Entegris,Ansan Technology Center,Ansan,South Korea,R&D
🇺🇸,Entegris,Aurora Tech Center,Aurora,USA,R&D
🇺🇸,Entegris,SDMTC Singapore,Singapore,Singapore,R&D
🇩🇪,Merck KGaA (EMD Electronics),HQ,Darmstadt,Germany,HQ
🇩🇪,Merck KGaA (EMD Electronics),Darmstadt Electronics Hub,Darmstadt,Germany,Plant/R&D
🇩🇪,Merck KGaA (EMD Electronics),Tempe Hub,Tempe,USA,Plant/R&D
🇩🇪,Merck KGaA (EMD Electronics),Hometown Plant,Hometown,USA,Plant
🇩🇪,Merck KGaA (EMD Electronics),San Jose Innovation Hub,San Jose,USA,R&D
🇩🇪,Merck KGaA (EMD Electronics),Eumseong Plant,Eumseong,South Korea,Plant
🇩🇪,Merck KGaA (EMD Electronics),Daejeon Center,Daejeon,South Korea,R&D
🇩🇪,Merck KGaA (EMD Electronics),Shizuoka Hub,Kakegawa,Japan,Plant/R&D
🇩🇪,Merck KGaA (EMD Electronics),Hsinchu Hub,Hsinchu,Taiwan,Plant/R&D
🇩🇪,Merck KGaA (EMD Electronics),Kaohsiung Plant,Kaohsiung,Taiwan,Plant
🇩🇪,Merck KGaA (EMD Electronics),Shanghai Electronics Technology Center,Shanghai,China,Plant/R&D
🇰🇷,SK Materials (SK Specialty),HQ,Yeongju,South Korea,HQ
🇰🇷,SK Materials (SK Specialty),Yeongju Factory,Yeongju,South Korea,Plant/R&D
🇰🇷,SK Materials (SK Specialty),SK trichem,Sejong,South Korea,Plant
🇰🇷,SK Materials (SK Specialty),Jiangsu Plant,Zhenjiang,China,Plant
🇯🇵,ADEKA Corporation,HQ,Tokyo,Japan,HQ
🇯🇵,ADEKA Corporation,Kashima Plant,Kamisu,Japan,Plant
🇯🇵,ADEKA Corporation,Adeka Korea R&D Center,Hwaseong,South Korea,R&D
🇯🇵,ADEKA Corporation,Jeonju Plant,Wanju,South Korea,Plant
🇯🇵,TANAKA Precious Metals,HQ,Tokyo,Japan,HQ
🇯🇵,TANAKA Precious Metals,Tsukuba Technical Center,Tsukuba,Japan,Plant/R&D
🇯🇵,TANAKA Precious Metals,Hiratsuka Technical Center,Hiratsuka,Japan,R&D
🇯🇵,TANAKA Precious Metals,Tanaka Electronics Taiwan,Tongluo,Taiwan,Plant/R&D
🇰🇷,Soulbrain,HQ,Seongnam,South Korea,HQ
🇰🇷,Soulbrain,Gongju Factory,Gongju,South Korea,Plant/R&D
🇰🇷,Soulbrain,Yong-in R&D Center,Yongin,South Korea,R&D
🇰🇷,UP Chemical (Yoke Technology),HQ,Pyeongtaek,South Korea,HQ
🇰🇷,UP Chemical (Yoke Technology),Quanjiao Manufacturing Site,Quanjiao,China,Plant
🇬🇧,Linde Electronics,HQ,Woking,United Kingdom,HQ
🇬🇧,Linde Electronics,US Electronics Center,Danbury,USA,Plant/R&D
🇬🇧,Linde Electronics,Alpha Plant,Alpha,USA,Plant
🇬🇧,Linde Electronics,Medford Plant,Medford,USA,Plant
🇰🇷,Wonik Materials,HQ,Cheonan,South Korea,HQ
🇰🇷,Wonik Materials,Chungcheongbuk-do Site,Cheongju,South Korea,Plant
🇩🇪,Heraeus Precious Metals,HQ,Hanau,Germany,HQ
🇩🇪,Heraeus Precious Metals,Hanau Plant,Hanau,Germany,Plant
🇯🇵,Tri Chemical Laboratories (TCLC),HQ,Uenohara,Japan,HQ
🇯🇵,Tri Chemical Laboratories (TCLC),Minami-Alps Plant,Minami-Alps,Japan,Plant
🇯🇵,Tri Chemical Laboratories (TCLC),Taiwan Plant,Tongluo,Taiwan,Plant
🇯🇵,Tri Chemical Laboratories (TCLC),SK Tri Chem JV,Sejong,South Korea,Plant
